metric,value
candidate_pairs,1971.0
graph_nodes,1971.0
graph_edges,604.0
component_count,1524.0
largest_component_size,30.0
largest_component_share,0.0152
isolated_pairs,1377.0
avg_linked_pair_count,0.6129
p90_linked_pair_count,2.0
