driver_id,customer_id,n_trips,n_ghost,driver_trip_count,customer_trip_count,top_service_name,top_pickup_province_name,pair_share_driver,pair_share_customer,ghost_rate,volume_cohort,cohort_trip_threshold,trip_count_percentile,expected_share_driver,expected_share_customer,raw_concentration,expected_concentration,concentration_gap,support_factor,trip_threshold,volume_score,is_extreme_volume,concentration_score,pair_core_score,pair_collusion_score,avg_gmv,total_gmv,total_discount,active_days,latest_order_date,top_dropoff_province_name,min_gap_min,dominant_route_key,dominant_route_trip_count,dominant_route_share,high_confidence,suspected_ghost_rate,temporal_score,avg_gmv_percentile_by_cohort,low_value_farming_score,suspected_ghost_score,pair_risk_score,business_impact_score,fraud_risk_score,investigation_priority_score,shared_payment_count,shared_promo_count,shared_pickup_count,shared_dropoff_count,shared_route_count,component_id,component_size,component_edge_count,component_density,supporting_signal_count,linked_pair_count,network_support_score,network_risk_score,priority_score,repeated_pair_rule_score,ghost_trip_rule_score,route_farming_rule_score,network_pattern_rule_score,business_rule,business_rule_label,business_rule_story,business_rule_score,triggered_business_rules,triggered_reason_codes,primary_business_rule,primary_business_rule_label,primary_business_rule_story,primary_business_rule_score
5f4fa4b5dc96fc17,5e63a8c46f1dfd09,10,0,11,10,xanh_limo_6_cho,Tỉnh Bình Dương,0.9090909090909091,1.0,0.0,xanh_limo_6_cho|Tỉnh Bình Dương,9.425800000000208,1.0,0.3333333333333333,0.5,0.9091,0.3333,0.8636,1.0,6.0,0.3536,True,0.8636,63.41,63.41,42000.0,420000.0,50000.0,1,2026-07-24,Tỉnh Bình Dương,4.75,"Phường Thới Hòa, Thành phố Hồ Chí Minh, Việt Nam -> Phường Thới Hòa, Thành phố Hồ Chí Minh, Việt Nam",2,0.2,False,0.0,0.6492,1.0,0.0,19.48,39.25,44.11,31.64,34.76,0,0,0,1,0,ride_component_11,1,0,0.0,0,0,5.4,3.4,34.76,64.94,25.65,33.5,1.87,REPEATED_LOCKED_PAIR,Cap lap lai va phu thuoc bat thuong,Tai xe va khach hang di voi nhau nhieu lan va co muc do phu thuoc bat thuong so voi hanh vi thong thuong.,64.94,Cap lap lai va phu thuoc bat thuong,KB-C_EXTREME_VOLUME | KB-C_TIGHT_PAIR_SHARE,REPEATED_LOCKED_PAIR,Cap lap lai va phu thuoc bat thuong,Tai xe va khach hang di voi nhau nhieu lan va co muc do phu thuoc bat thuong so voi hanh vi thong thuong.,64.94
3d8dc2593d90ba63,72159a75972cb55d,7,1,7,7,xanh_car,Tỉnh Bến Tre,1.0,1.0,0.14285714285714285,xanh_car|Tỉnh Bến Tre,6.8689999999999145,1.0,0.5,0.5,1.0,0.5,1.0,0.8672,6.0,0.3397,True,0.8672,62.98,62.98,167000.0,1169000.0,42000.0,1,2026-07-24,Tỉnh Bến Tre,72.88333333333334,"109 Đường Đoàn Hoàng Minh, Phường An Hội, Tỉnh Vĩnh Long, Việt Nam -> Vĩnh Long",1,0.14285714285714285,False,0.1429,0.0429,0.5,0.1698,11.83,34.85,58.23,34.03,40.08,0,1,1,3,0,ride_component_12,2,1,1.0,2,1,55.01,33.33,40.08,64.56,10.69,19.59,40.83,REPEATED_LOCKED_PAIR,Cap lap lai va phu thuoc bat thuong,Tai xe va khach hang di voi nhau nhieu lan va co muc do phu thuoc bat thuong so voi hanh vi thong thuong.,64.56,,,,,,
7afd4c3507395b2f,b235143704083232,7,0,7,7,xanh_premium,Tỉnh Hòa Bình,1.0,1.0,0.0,xanh_premium|Tỉnh Hòa Bình,6.921600000000012,1.0,0.5,0.5,1.0,0.5,1.0,0.8672,6.0,0.3371,True,0.8672,62.87,62.87,19571.428571428572,137000.0,0.0,1,2026-07-24,Tỉnh Hòa Bình,4.116666666666666,"Quốc lộ 15, Xã Mai Châu, Tỉnh Phú Thọ, Việt Nam -> Xã Mai Châu, Tỉnh Phú Thọ, Việt Nam",3,0.42857142857142855,False,0.0,0.7325,1.0,0.0,21.98,40.38,23.31,31.9,29.75,0,0,0,0,0,ride_component_13,1,0,0.0,0,0,0.0,0.0,29.75,64.46,28.94,47.65,0.0,REPEATED_LOCKED_PAIR,Cap lap lai va phu thuoc bat thuong,Tai xe va khach hang di voi nhau nhieu lan va co muc do phu thuoc bat thuong so voi hanh vi thong thuong.,64.46,,,,,,
003a690715e7daa4,93c64921eaa059b1,7,0,7,7,xanh_car,Tỉnh Long An,1.0,1.0,0.0,xanh_car|Tỉnh Long An,7.0,1.0,0.5,0.5,1.0,0.5,1.0,0.8672,6.0,0.3333,True,0.8672,62.69,62.69,172142.85714285713,1205000.0,140000.0,1,2026-07-24,Tỉnh Long An,37.266666666666666,"Xã Tân Tập, Tỉnh Tây Ninh, Việt Nam -> Đường 19 Tháng 5, Xã Tân Lân, Tỉnh Tây Ninh, Việt Nam",2,0.2857142857142857,False,0.0,0.0857,1.0,0.0,2.57,29.62,72.43,23.72,35.9,0,0,1,0,0,ride_component_14,1,0,0.0,0,0,5.4,3.12,35.9,64.29,3.38,26.83,1.72,REPEATED_LOCKED_PAIR,Cap lap lai va phu thuoc bat thuong,Tai xe va khach hang di voi nhau nhieu lan va co muc do phu thuoc bat thuong so voi hanh vi thong thuong.,64.29,,,,,,
4ce95b98f61cc30f,93edc075c9f0deec,7,0,7,7,xanh_car,Tỉnh Long An,1.0,1.0,0.0,xanh_car|Tỉnh Long An,7.0,1.0,0.5,0.5,1.0,0.5,1.0,0.8672,6.0,0.3333,True,0.8672,62.69,62.69,72142.85714285714,505000.0,8000.0,1,2026-07-24,Tỉnh Long An,12.916666666666666,"Quốc lộ N2, Xã Hòa Khánh, Tỉnh Tây Ninh, Việt Nam -> Xã Hòa Khánh, Tỉnh Tây Ninh, Việt Nam",1,0.14285714285714285,False,0.0,0.4415,0.5,0.1666,16.58,37.33,35.27,30.07,31.37,0,1,0,0,0,ride_component_15,1,0,0.0,0,0,5.4,3.34,31.37,64.29,19.61,26.09,1.84,REPEATED_LOCKED_PAIR,Cap lap lai va phu thuoc bat thuong,Tai xe va khach hang di voi nhau nhieu lan va co muc do phu thuoc bat thuong so voi hanh vi thong thuong.,64.29,,,,,,
e504bb113eedbb01,b362416ee69d1f84,28,0,39,28,xanhsm_bike_hn,Thành phố Hải Phòng,0.717948717948718,1.0,0.0,xanhsm_bike_hn|Thành phố Hải Phòng,17.545600000004924,1.0,0.07692307692307693,0.5,0.7179,0.0769,0.6944,1.0,6.0,0.5319,True,0.6944,62.13,62.13,39642.857142857145,1110000.0,72000.0,1,2026-07-24,Thành phố Hải Phòng,4.833333333333333,"Phường Hải An, Thành phố Hải Phòng, Việt Nam -> Phường Đông Hải, Thành phố Hải Phòng, Việt Nam",3,0.10714285714285714,False,0.0,0.6194,1.0,0.0,18.58,38.18,66.02,36.96,44.22,0,1,1,3,0,ride_component_16,2,1,1.0,2,1,55.01,34.28,44.22,62.62,24.46,27.6,41.35,REPEATED_LOCKED_PAIR,Cap lap lai va phu thuoc bat thuong,Tai xe va khach hang di voi nhau nhieu lan va co muc do phu thuoc bat thuong so voi hanh vi thong thuong.,62.62,Cap lap lai va phu thuoc bat thuong,KB-C_EXTREME_VOLUME | KB-C_TIGHT_PAIR_SHARE,REPEATED_LOCKED_PAIR,Cap lap lai va phu thuoc bat thuong,Tai xe va khach hang di voi nhau nhieu lan va co muc do phu thuoc bat thuong so voi hanh vi thong thuong.,62.62
932919becdbb9a39,1800eec528db6159,10,0,14,10,xanh_car,Tỉnh Bà Rịa - Vũng Tàu,0.7142857142857143,1.0,0.0,xanh_car|Tỉnh Bà Rịa - Vũng Tàu,5.996100000000297,1.0,0.16666666666666666,0.5,0.7143,0.1667,0.6571,1.0,6.0,0.5559,True,0.6571,61.16,61.16,135200.0,1352000.0,64000.0,1,2026-07-24,Tỉnh Bà Rịa - Vũng Tàu,2.1333333333333333,"117 Đường Thùy Vân, Phường Vũng Tàu, Thành phố Hồ Chí Minh, Việt Nam -> Phường Vũng Tàu, Thành phố Hồ Chí Minh, Việt Nam",1,0.1,False,0.0,0.6802,0.5,0.2779,25.97,41.8,68.45,42.35,48.88,0,3,3,1,1,ride_component_17,3,2,0.6667,3,2,72.13,46.31,48.88,61.46,30.48,28.28,52.14,REPEATED_LOCKED_PAIR,Cap lap lai va phu thuoc bat thuong,Tai xe va khach hang di voi nhau nhieu lan va co muc do phu thuoc bat thuong so voi hanh vi thong thuong.,61.46,Cap lap lai va phu thuoc bat thuong | Mau lien ket theo mang,KB-C_EXTREME_VOLUME | KB-C_TIGHT_PAIR_SHARE | KB-C_SUSPICIOUS_COMPONENT,REPEATED_LOCKED_PAIR,Cap lap lai va phu thuoc bat thuong,Tai xe va khach hang di voi nhau nhieu lan va co muc do phu thuoc bat thuong so voi hanh vi thong thuong.,61.46
07b48acb0c535a99,89cb3800ad24bd8a,8,7,10,8,xanh_limo_6_cho,Thành phố Hồ Chí Minh,0.8,1.0,0.875,xanh_limo_6_cho|Thành phố Hồ Chí Minh,5.0,1.0,0.25,0.5,0.8,0.25,0.7333,0.9163,6.0,0.5333,True,0.672,60.96,60.96,112750.0,902000.0,225000.0,1,2026-07-24,Thành phố Hồ Chí Minh,0.43333333333333335,"212 Đường Trương Văn Bang, Phường Cát Lái, Thành phố Hồ Chí Minh, Việt Nam -> 92-94 nam kỳ khởi nghĩa, Phường Sài Gòn, Thành phố Hồ Chí Minh",6,0.75,True,0.875,0.9149,0.6667,0.1778,74.75,68.55,76.77,55.82,61.06,0,1,0,0,0,ride_component_18,1,0,0.0,0,0,5.4,4.25,61.06,61.38,80.01,77.44,2.34,GHOST_TRIP_EXECUTION_PATTERN,Mau thuc thi ghost trip,"Cap nay co dau hieu thuc thi ghost trip, voi nhieu chuyen nghi ngo gia lap hoac quay dau phi thuc te.",80.01,Cap lap lai va phu thuoc bat thuong | Mau thuc thi ghost trip | Mau farming theo tuyen,KB-C_EXTREME_VOLUME | KB-C_TIGHT_PAIR_SHARE | KB-C_HIGH_GHOST_RATE | KB-C_SUPERFAST_GAP | KB-C_ROUTE_LOOP,GHOST_TRIP_EXECUTION_PATTERN,Mau thuc thi ghost trip,"Cap nay co dau hieu thuc thi ghost trip, voi nhieu chuyen nghi ngo gia lap hoac quay dau phi thuc te.",80.01
ec29e93c0df1b8a7,cb80e450de98c6b1,9,6,10,9,xanh_limo_6_cho,Tỉnh Tây Ninh,0.9,1.0,0.6666666666666666,xanh_limo_6_cho|Tỉnh Tây Ninh,8.857499999999959,1.0,0.3333333333333333,0.5,0.9,0.3333,0.85,0.9603,6.0,0.3387,True,0.8162,60.13,60.13,207888.88888888888,1871000.0,279000.0,1,2026-07-24,Tỉnh Tây Ninh,0.9666666666666667,"Phường Bình Minh, Tỉnh Tây Ninh, Việt Nam -> Quốc lộ 22B, Phường Long Hoa, Tỉnh Tây Ninh, Việt Nam",7,0.7777777777777778,True,0.6667,0.9108,1.0,0.0,60.66,60.42,84.61,49.14,58.01,0,0,1,0,0,ride_component_19,1,0,0.0,0,0,5.4,4.01,58.01,61.56,67.64,76.68,2.21,ROUTE_FARMING_PATTERN,Mau farming theo tuyen,"Cap nay lap lai cung mot kieu tuyen duong voi mat do dang nghi, giong hanh vi farming hon la di chuyen tu nhien.",76.68,Cap lap lai va phu thuoc bat thuong | Mau thuc thi ghost trip | Mau farming theo tuyen,KB-C_EXTREME_VOLUME | KB-C_TIGHT_PAIR_SHARE | KB-C_HIGH_GHOST_RATE | KB-C_SUPERFAST_GAP | KB-C_ROUTE_LOOP,ROUTE_FARMING_PATTERN,Mau farming theo tuyen,"Cap nay lap lai cung mot kieu tuyen duong voi mat do dang nghi, giong hanh vi farming hon la di chuyen tu nhien.",76.68
2ff877bcf6cc0493,faa480c51adf21e6,6,0,6,6,xanh_premium,Tỉnh Bình Phước,1.0,1.0,0.0,xanh_premium|Tỉnh Bình Phước,5.925700000000006,1.0,0.5,0.5,1.0,0.5,1.0,0.8115,6.0,0.3375,True,0.8115,59.82,59.82,150000.0,900000.0,150000.0,1,2026-07-24,Tỉnh Bình Phước,29.433333333333334,"Đồng Nai -> Tỉnh lộ 741, Xã Phú Riềng, Tỉnh Đồng Nai, Việt Nam",3,0.5,False,0.0,0.1632,1.0,0.0,4.9,29.61,66.83,23.76,34.53,0,0,1,0,0,ride_component_20,1,0,0.0,0,0,5.4,3.1,34.53,61.24,6.45,39.74,1.71,REPEATED_LOCKED_PAIR,Cap lap lai va phu thuoc bat thuong,Tai xe va khach hang di voi nhau nhieu lan va co muc do phu thuoc bat thuong so voi hanh vi thong thuong.,61.24,,,,,,
