domain,order_date,rule_name,flagged_orders,flagged_customers,model_overlap_orders,total_gmv,total_discount
ride,2026-07-24,REPEATED_CUSTOMER_DRIVER,3019,1134,0,449310100.0,31617000.0
ride,2026-07-25,REPEATED_CUSTOMER_DRIVER,3250,1182,0,470690800.0,34693000.0
ride,2026-07-26,REPEATED_CUSTOMER_DRIVER,3661,1184,0,501440100.0,36753000.0
ride,2026-07-27,REPEATED_CUSTOMER_DRIVER,3167,1187,0,475251300.0,33119000.0
ride,2026-07-28,REPEATED_CUSTOMER_DRIVER,3348,1199,0,448156300.0,31660000.0
ride,2026-07-29,REPEATED_CUSTOMER_DRIVER,3149,1174,0,448941600.0,28753000.0
